recording id,timestamp,Seconds after dusk,Seconds before dawn
213171,2018-12-19T08:18:01.000Z,601,
262145,2019-03-11T16:54:00.000Z,,-2999
162382,2018-06-27T05:57:00.000Z,1200,
252727,2019-02-22T09:38:01.000Z,7201,
221802,2019-01-04T09:13:01.000Z,3601,
184590,2018-10-14T07:33:00.000Z,1800,
226041,2019-01-12T16:12:00.000Z,,-1799
166299,2018-08-06T06:34:00.000Z,1800,
198915,2018-11-22T15:25:00.000Z,,-3599
217042,2018-12-26T08:41:00.000Z,1800,
193551,2018-11-08T08:09:00.000Z,2400,
163672,2018-07-10T11:44:02.000Z,21602,
243571,2019-02-06T16:10:00.000Z,,-3599
257745,2019-03-03T07:56:00.000Z,1800,
195102,2018-11-11T14:32:04.000Z,,-7255
166002,2018-08-03T12:01:05.000Z,,-24414
291398,2019-04-27T08:06:00.000Z,7200,
174266,2018-09-15T07:08:00.000Z,1800,
233623,2019-01-27T08:15:00.000Z,600,
177080,2018-09-25T08:46:01.000Z,7201,
315280,2019-06-04T11:36:02.000Z,21602,
166519,2018-08-08T16:06:03.000Z,,-9416
257364,2019-03-02T07:37:00.000Z,600,
168102,2018-08-25T17:20:06.000Z,,-3653
162484,2018-06-28T08:38:02.000Z,10802,
163869,2018-07-12T16:45:01.000Z,,-8278
168577,2018-08-28T18:07:00.000Z,,-599
214630,2018-12-22T08:50:00.000Z,2400,
277391,2019-04-10T17:22:00.000Z,,-2999
164579,2018-07-20T09:50:01.000Z,14401,
182253,2018-10-07T16:16:01.000Z,,-3598
245713,2019-02-10T15:53:05.000Z,,-4854
214627,2018-12-22T08:20:00.000Z,600,
166354,2018-08-06T17:45:01.000Z,,-3598
309803,2019-05-26T18:42:00.000Z,,-599
316704,2019-06-07T06:35:00.000Z,3600,
187312,2018-10-22T16:35:00.000Z,,-1199
199468,2018-11-23T16:04:01.000Z,,-1198
210602,2018-12-14T15:32:01.000Z,,-2998
169142,2018-09-02T06:47:00.000Z,1200,
220843,2019-01-02T14:13:04.000Z,,-8335
249667,2019-02-16T17:11:00.000Z,,-599
317432,2019-06-08T15:35:04.000Z,,-12295
195536,2018-11-12T16:12:00.000Z,,-1199
217400,2018-12-26T16:07:00.000Z,,-1199
306441,2019-05-21T05:53:00.000Z,600,
203265,2018-12-01T11:54:02.000Z,,-16077
262615,2019-03-12T07:43:00.000Z,1800,
212453,2018-12-17T15:33:00.000Z,,-2999
255042,2019-02-27T12:31:03.000Z,,-18056
166504,2018-08-08T07:06:00.000Z,3600,
163393,2018-07-07T06:12:00.000Z,1800,
253519,2019-02-24T07:45:00.000Z,600,
171927,2018-09-12T13:35:03.000Z,,-15536
240285,2019-02-02T12:00:01.000Z,,-18298
307752,2019-05-23T06:22:00.000Z,2400,
313532,2019-06-01T08:37:01.000Z,10801,
223138,2019-01-06T16:06:00.000Z,,-1799
182397,2018-10-08T16:14:00.000Z,,-3599
163301,2018-07-06T06:11:00.000Z,1800,
207931,2018-12-08T14:00:02.000Z,,-8457
282396,2019-04-21T07:14:00.000Z,3600,
319680,2019-06-12T17:35:07.000Z,,-5212
200983,2018-11-26T16:03:00.000Z,,-1199
258275,2019-03-04T16:24:03.000Z,,-4376
164046,2018-07-14T14:46:04.000Z,,-15415
274203,2019-04-03T07:19:00.000Z,2400,
194941,2018-11-11T08:02:00.000Z,1800,
176056,2018-09-21T07:33:00.000Z,3000,
162603,2018-06-29T16:38:05.000Z,,-8874
168639,2018-08-29T06:43:00.000Z,1200,
263663,2019-03-14T07:40:00.000Z,1800,
164763,2018-07-22T06:52:00.000Z,3600,
279037,2019-04-14T06:33:00.000Z,600,
267202,2019-03-21T11:59:04.000Z,,-21295
266851,2019-03-20T17:03:00.000Z,,-2999
179163,2018-10-02T11:52:00.000Z,,-19859
203259,2018-12-01T08:24:00.000Z,1800,
268282,2019-03-23T17:06:00.000Z,,-2999
167664,2018-08-21T13:17:05.000Z,,-18594
321220,2019-06-15T12:35:02.000Z,,-23277
304729,2019-05-18T06:15:00.000Z,1800,
165273,2018-07-27T14:56:04.000Z,,-14275
253201,2019-02-23T14:37:05.000Z,,-10254
201674,2018-11-28T08:11:01.000Z,1201,
162357,2018-06-26T18:56:00.000Z,,-599
228539,2019-01-17T16:07:00.000Z,,-2399
277745,2019-04-11T18:03:00.000Z,,-599
162306,2018-06-25T18:56:00.000Z,,-599
301271,2019-05-11T18:00:00.000Z,,-2399
308434,2019-05-24T10:41:01.000Z,18001,
162682,2018-06-30T08:38:01.000Z,10801,
275781,2019-04-06T17:28:00.000Z,,-2399
179987,2018-10-03T15:53:02.000Z,,-5337
215217,2018-12-23T08:30:00.000Z,1200,
186507,2018-10-19T16:39:00.000Z,,-1199
303317,2019-05-15T17:53:00.000Z,,-2999
221798,2019-01-04T08:33:00.000Z,1200,
213175,2018-12-19T08:58:00.000Z,3000,
263850,2019-03-14T17:17:00.000Z,,-1799
186635,2018-10-20T07:29:00.000Z,1200,
227651,2019-01-15T15:12:02.000Z,,-5577
181804,2018-10-05T16:19:00.000Z,,-3599
226824,2019-01-14T09:12:00.000Z,3600,
291393,2019-04-27T06:26:00.000Z,1200,
304835,2019-05-18T12:45:02.000Z,,-21657
249979,2019-02-17T16:32:00.000Z,,-2999
162387,2018-06-27T07:37:00.000Z,7200,
165995,2018-08-03T06:41:00.000Z,2400,
162293,2018-06-25T10:37:00.000Z,18000,
175927,2018-09-20T12:42:01.000Z,,-17998
165351,2018-07-28T06:57:00.000Z,3600,
180543,2018-10-04T16:40:00.000Z,,-2399
168100,2018-08-25T15:20:04.000Z,,-10855
221920,2019-01-04T15:34:00.000Z,,-3599
255452,2019-02-28T07:40:00.000Z,600,
317438,2019-06-08T18:10:00.000Z,,-2999
257881,2019-03-03T17:06:00.000Z,,-1799
209852,2018-12-12T15:21:01.000Z,,-3598
192252,2018-11-03T08:04:01.000Z,2401,
192254,2018-11-03T08:24:00.000Z,3600,
201812,2018-11-28T15:52:00.000Z,,-1799
168796,2018-08-30T12:24:03.000Z,,-20996
228138,2019-01-16T16:36:01.000Z,,-598
298635,2019-05-07T06:35:00.000Z,2400,
188195,2018-10-24T14:13:05.000Z,,-9534
162786,2018-07-01T18:16:00.000Z,,-2999
168359,2018-08-27T17:48:01.000Z,,-1798
279680,2019-04-15T10:22:01.000Z,14401,
164313,2018-07-17T11:48:03.000Z,21603,
317908,2019-06-09T14:35:04.000Z,,-15955
320391,2019-06-13T18:53:00.000Z,,-599
162336,2018-06-26T07:37:01.000Z,7201,
186922,2018-10-21T13:10:04.000Z,,-13555
168211,2018-08-26T18:00:00.000Z,,-1199
193049,2018-11-06T16:27:00.000Z,,-599
166521,2018-08-08T17:43:00.000Z,,-3599
170048,2018-09-07T06:51:00.000Z,1200,
275784,2019-04-06T17:58:00.000Z,,-599
181641,2018-10-05T09:55:01.000Z,10801,
302060,2019-05-13T06:49:00.000Z,3600,
215871,2018-12-24T10:11:01.000Z,7201,
269741,2019-03-26T17:48:00.000Z,,-599
